,IPO Name,Mainboard/SME,NSE/BSE,Issue Price,List Price,List Gain(%),Current Price,Current Gain(%)
32, Sagility India Ltd,Mainboard,"NSE, BSE",30.0,31.06,3.53,46.77,55.9
33, Afcons Infrastruct...,Mainboard,"NSE, BSE",463.0,430.05,-7.12,467.0,0.86
34, Godavari Biorefine...,Mainboard,"NSE, BSE",352.0,310.55,-11.78,191.9,-45.48
35, Waaree Energies Lt...,Mainboard,"NSE, BSE",1503.0,2550.0,69.66,2920.85,94.33
36, Deepak Builders & ...,Mainboard,"NSE, BSE",203.0,198.5,-2.22,142.7,-29.7
37, Hyundai Motor Indi...,Mainboard,"NSE, BSE",1960.0,1931.0,-1.48,1859.95,-5.1
38, Garuda Constructio...,Mainboard,"NSE, BSE",95.0,103.2,8.63,106.99,12.62
39, Diffusion Engineer...,Mainboard,"NSE, BSE",168.0,188.0,11.9,285.75,70.09
40, KRN Heat Exchanger...,Mainboard,"NSE, BSE",220.0,470.0,113.64,800.35,263.8
41, Manba Finance Ltd,Mainboard,"NSE, BSE",120.0,150.0,25.0,136.15,13.46
42, Arkade Developers ...,Mainboard,"NSE, BSE",128.0,175.9,37.42,164.65,28.63
43, Northern ARC Capit...,Mainboard,"NSE, BSE",263.0,351.0,33.46,215.2,-18.17
44, Western Carriers (...,Mainboard,"NSE, BSE",172.0,170.0,-1.16,84.12,-51.09
45, P N Gadgil Jewelle...,Mainboard,"NSE, BSE",480.0,834.0,73.75,543.4,13.21
46, Kross Ltd,Mainboard,"NSE, BSE",240.0,240.0,0.0,174.85,-27.15
47, Tolins Tyres Ltd,Mainboard,"NSE, BSE",226.0,227.0,0.44,132.6,-41.33
48, Bajaj Housing Fina...,Mainboard,"NSE, BSE",70.0,150.0,114.29,123.95,77.07
49, Shree Tirupati Bal...,Mainboard,"NSE, BSE",83.0,92.9,11.93,46.49,-43.99
50, Gala Precision Eng...,Mainboard,"NSE, BSE",529.0,750.0,41.78,906.0,71.27
51, Baazar Style Retai...,Mainboard,"NSE, BSE",389.0,389.0,0.0,285.4,-26.63
52, Ecos (India) Mobil...,Mainboard,"NSE, BSE",334.0,391.3,17.16,222.5,-33.38
53, Premier Energies L...,Mainboard,"NSE, BSE",450.0,991.0,120.22,1127.15,150.48
54, Orient Technologie...,Mainboard,"NSE, BSE",206.0,290.0,40.78,355.5,72.57
55, Interarch Building...,Mainboard,"NSE, BSE",900.0,1291.2,43.47,1811.15,101.24
56, Saraswati Saree De...,Mainboard,"NSE, BSE",160.0,200.0,25.0,94.79,-40.76
57, Unicommerce eSolut...,Mainboard,"NSE, BSE",108.0,230.0,112.96,136.45,26.34
58, Brainbees Solution...,Mainboard,"NSE, BSE",465.0,625.0,34.41,358.8,-22.84
59, Ola Electric Mobil...,Mainboard,"NSE, BSE",76.0,75.99,-0.01,52.13,-31.41
60, Ceigall India Ltd,Mainboard,"NSE, BSE",401.0,413.0,2.99,257.45,-35.8
61, Akums Drugs & Phar...,Mainboard,"NSE, BSE",679.0,725.0,6.77,546.5,-19.51
62, Sanstar Ltd,Mainboard,"NSE, BSE",95.0,106.4,12.0,93.38,-1.71
63, Bansal Wire Indust...,Mainboard,"NSE, BSE",256.0,352.05,37.52,396.85,55.02
64, Emcure Pharmaceuti...,Mainboard,"NSE, BSE",1008.0,1325.05,31.45,1063.8,5.54
65, Vraj Iron & Steel ...,Mainboard,"NSE, BSE",207.0,240.0,15.94,186.8,-9.76
66, Allied Blenders & ...,Mainboard,"NSE, BSE",281.0,318.1,13.2,390.0,38.79
67, Stanley Lifestyles...,Mainboard,"NSE, BSE",369.0,499.0,35.23,358.95,-2.72
68, DEE Development En...,Mainboard,"NSE, BSE",203.0,325.0,60.1,238.6,17.54
69, Akme Fintrade (Ind...,Mainboard,"NSE, BSE",120.0,125.7,4.75,7.22,-93.98
70, Le Travenues Techn...,Mainboard,"NSE, BSE",93.0,135.0,45.16,177.05,90.38
71, Kronox Lab Science...,Mainboard,"NSE, BSE",136.0,165.0,21.32,143.6,5.59
72, AWFIS Space Soluti...,Mainboard,"NSE, BSE",383.0,432.25,12.86,625.25,63.25
73, Go Digit General I...,Mainboard,"NSE, BSE",272.0,281.1,3.35,299.85,10.24
74, TBO Tek Ltd,Mainboard,"NSE, BSE",920.0,1380.0,50.0,1236.5,34.4
75, Aadhar Housing Fin...,Mainboard,"NSE, BSE",315.0,314.3,-0.22,457.45,45.22
76, Indegene Ltd,Mainboard,"NSE, BSE",452.0,659.7,45.95,612.05,35.41
77, JNK India Ltd,Mainboard,"NSE, BSE",415.0,620.0,49.4,375.35,-9.55
78, Vodafone Idea Ltd,Mainboard,"NSE, BSE",11.0,12.0,9.09,7.37,-33.0
79, Bharti Hexacom Ltd,Mainboard,"NSE, BSE",570.0,755.2,32.49,1665.35,192.17
80, SRM Contractors Lt...,Mainboard,"NSE, BSE",210.0,225.0,7.14,361.7,72.24
0, Rapid Fleet Manage...,SME,NSE,192.0,200.9,1.56,209.5,4.63541666666667
1, Active Infrastruct...,SME,NSE,181.0,175.6,0.0,170.0,-2.983425414364644
2, Grand Continent Ho...,SME,NSE,113.0,107.25,-0.09,145.1,-5.0884955752212395
3, Paradeep Parivahan...,SME,BSE,98.0,82.32,-20.0,108.07,10.28
4, Divine Hira Jewell...,SME,NSE,90.0,85.5,0.0,44.9,-5.0
5, Super Iron Foundry...,SME,BSE,108.0,102.6,-0.05,39.32,-63.59
6, PDP Shipping & Pro...,SME,BSE,135.0,102.85,-19.81,75.1,-44.37
7, NAPS Global India ...,SME,BSE,90.0,102.6,20.0,46.13,-48.74
8, Balaji Phosphates ...,SME,NSE,70.0,74.35,7.14,140.5,6.214285714285706
9, Shreenath Paper Pr...,SME,BSE,44.0,33.44,-20.0,15.61,-64.52
10, Nukleus Office Sol...,SME,BSE,234.0,196.55,-20.0,210.5,-10.04
11, Beezaasan Explotec...,SME,BSE,175.0,153.3,-16.57,228.55,30.6
12, HP Telecom India L...,SME,NSE,108.0,115.05,6.53,132.5,6.527777777777775
13, Swasth Foodtech In...,SME,BSE,94.0,89.3,0.0,30.91,-67.12
14, Royal Arc Electrod...,SME,NSE,120.0,121.3,0.0,170.0,1.083333333333331
15, Tejas Cargo India ...,SME,NSE,168.0,168.0,4.17,169.0,0.0
16, L.K.Mehta Polymers...,SME,BSE,71.0,68.29,0.14,55.8,-21.41
17, Shanmuga Hospital ...,SME,BSE,54.0,51.3,0.0,37.5,-30.56
18, Voler Car Ltd,SME,NSE,90.0,91.45,0.0,98.3,1.6111111111111143
19, P S Raj Steels Ltd,SME,NSE,140.0,150.6,3.57,136.0,7.571428571428568
20, Maxvolt Energy Ind...,SME,NSE,180.0,180.9,0.0,184.4,0.5000000000000031
21, Chandan Healthcare...,SME,NSE,159.0,173.35,3.84,173.95,9.0251572327044
22, Eleganz Interiors ...,SME,NSE,130.0,116.05,-6.15,148.5,-10.730769230769234
23, Readymix Construct...,SME,NSE,123.0,116.85,0.0,88.3,-5.000000000000004
24, Solarium Green Ene...,SME,BSE,191.0,211.9,5.76,292.3,53.04
25, Ken Enterprises Lt...,SME,NSE,94.0,80.75,-9.57,37.55,-14.095744680851062
26, Amwill Health Care...,SME,BSE,111.0,93.25,-19.95,90.5,-18.47
27, Chamunda Electrica...,SME,NSE,50.0,66.5,40.0,42.9,33.0
28, Malpani Pipes & Fi...,SME,BSE,90.0,84.04,-4.56,67.21,-25.32
29, H.M. Electro Mech ...,SME,BSE,75.0,77.04,8.0,75.18,0.24
30, GB Logistics Comme...,SME,BSE,102.0,81.75,-20.0,49.28,-51.69
31, CLN Energy Ltd,SME,BSE,250.0,254.15,2.4,388,55.2
32, Rexpro Enterprises...,SME,NSE,145.0,111.15,-19.31,80.25,-23.344827586206893
33, CapitalNumbers Inf...,SME,BSE,263.0,261.35,4.18,143.6,-45.4
34, EMA Partners India...,SME,NSE,124.0,148.7,26.21,118.95,19.91935483870967
35, Landmark Immigrati...,SME,BSE,72.0,75.07,4.17,58,-19.44
36, Kabra Jewels Ltd,SME,NSE,128.0,255.35,90.0,148.8,99.4921875
37, Rikhav Securities ...,SME,BSE,86.0,171.55,90.0,63.24,-26.47
38, Barflex Polyfilms ...,SME,NSE,60.0,63.0,0.0,60.9,5.0
39, Sat Kartar Shoppin...,SME,NSE,81.0,161.55,90.0,170.8,99.44444444444446
40, B.R.Goyal Infrastr...,SME,BSE,135.0,142.5,0.56,130.5,-3.33
41, Delta Autocorp Ltd,SME,NSE,130.0,167.25,34.62,71.0,28.653846153846153
42, Avax Apparels and ...,SME,BSE,70.0,139.65,90.0,134,91.43
43, Indobell Insulatio...,SME,BSE,46.0,91.77,90.0,115.2,150.43
44, Fabtech Technologi...,SME,BSE,85.0,169.57,90.0,309.5,264.12
45, Parmeshwar Metal L...,SME,BSE,61.0,88.72,38.52,70,14.75
46, Davin Sons Retail ...,SME,BSE,55.0,46.2,-20.0,20.17,-63.33
47, Leo Dryfruits & Sp...,SME,BSE,52.0,71.36,30.77,57.45,10.48
48, Technichem Organic...,SME,BSE,55.0,60.11,4.09,47.03,-14.49
49, Citichem India Ltd,SME,BSE,70.0,68.28,0.0,27.5,-60.71
50, Anya Polytech & Fe...,SME,NSE,14.0,17.95,22.14,24.35,28.214285714285708
51, Newmalayalam Steel...,SME,NSE,90.0,85.5,0.0,31.35,-5.0
52, Identical Brains S...,SME,NSE,54.0,99.75,75.93,51.25,84.72222222222221
53, Nacdac Infrastruct...,SME,BSE,35.0,69.82,90.0,40.11,14.6
54, Hamps Bio Limited,SME,BSE,51.0,101.74,90.0,47.51,-6.84
55, Yash Highvoltage L...,SME,BSE,146.0,291.25,90.0,210,43.84
56, Purple United Sale...,SME,NSE,126.0,208.95,57.94,238.35,65.83333333333331
57, Supreme Facility M...,SME,NSE,76.0,71.25,-1.32,31.0,-6.25
58, Toss The Coin Ltd,SME,BSE,182.0,363.05,90.0,368.35,102.39
59, Jungle Camps India...,SME,BSE,72.0,129.96,90.0,50.75,-29.51
60, Dhanlaxmi Crop Sci...,SME,NSE,55.0,109.7,90.0,59.0,99.45454545454547
61, Emerald Tyre Manuf...,SME,NSE,95.0,189.5,90.0,105.95,99.47368421052632
62, Nisus Finance Serv...,SME,BSE,180.0,236.25,25.0,364.1,102.28
63, Property Share Inv...,SME,BSE,1050000.0,1048945.7,0.0,"10,03,000.00",-4.48
64, Ganesh Infraworld ...,SME,NSE,83.0,165.55,90.0,189.75,99.45783132530121
65, Agarwal Toughened ...,SME,NSE,108.0,141.75,25.0,140.95,31.25
66, Apex Ecotech Ltd,SME,NSE,73.0,145.6,90.0,100.6,99.45205479452054
67, Abha Power and Ste...,SME,NSE,75.0,77.8,9.2,31.95,3.7333333333333294
68, Rajputana Biodiese...,SME,NSE,130.0,259.35,90.0,235.5,99.50000000000003
69, Rajesh Power Servi...,SME,BSE,335.0,668.3,90.0,1267.9,278.48
70, C2C Advanced Syste...,SME,NSE,226.0,450.85,90.0,445.0,99.49115044247789
71, Lamosaic India Ltd,SME,NSE,200.0,172.2,-18.0,41.8,-13.900000000000007
73, Onyx Biotec Ltd,SME,NSE,61.0,56.75,-11.39,51.6,-6.967213114754098
74, Mangal Compusoluti...,SME,BSE,45.0,42.75,0.0,39.62,-11.96
75, Neelam Linens and ...,SME,NSE,24.0,38.05,66.88,26.25,58.54166666666666
76, Usha Financial Ser...,SME,NSE,168.0,155.85,-2.38,90.0,-7.23214285714286
77, OBSC Perfection Lt...,SME,NSE,100.0,115.5,10.0,195.45,15.5
78, Danish Power Ltd,SME,NSE,380.0,598.5,50.0,973.65,57.49999999999999
79, United Heat Transf...,SME,NSE,59.0,63.95,3.31,55.0,8.389830508474581
80, Premium Plast Ltd,SME,NSE,49.0,48.9,5.0,29.8,-0.20408163265306412
81, Freshara Agro Expo...,SME,NSE,116.0,134.7,16.38,160.45,16.120689655172406
82, Lakshya Powertech ...,SME,NSE,180.0,359.1,90.0,180.05,99.50000000000001
83, Pranik Logistics L...,SME,NSE,77.0,82.95,2.6,57.95,7.727272727272731
84, Shiv Texchem Ltd,SME,BSE,166.0,250.95,43.98,275.65,66.05
85, Khyati Global Vent...,SME,BSE,99.0,99.75,6.06,68,-31.31
86, Subam Papers Ltd,SME,BSE,152.0,149.1,-6.58,96.48,-36.53
87, Paramount Dye Tec ...,SME,NSE,117.0,107.05,-6.07,56.0,-8.504273504273508
88, Neopolitan Pizza a...,SME,BSE,20.0,20.21,-3.75,15.48,-22.6
89, HVAX Technologies ...,SME,NSE,458.0,490.35,6.11,610.7,7.063318777292582
90, Saj Hotels Ltd,SME,NSE,65.0,52.45,-15.38,72.0,-19.307692307692303
91, Nexxus Petro Indus...,SME,BSE,105.0,132.3,20.0,111,5.71
92, Sahasra Electronic...,SME,NSE,283.0,564.55,90.0,353.55,99.4876325088339
93, Forge Auto Interna...,SME,NSE,108.0,109.35,4.63,79.0,1.2499999999999947
94, Divyadhan Recyclin...,SME,NSE,64.0,88.2,31.25,38.2,37.81250000000001
95, Thinking Hats Ente...,SME,NSE,44.0,57.0,36.36,38.45,29.545454545454547
96, Techera Engineerin...,SME,NSE,82.0,131.25,52.44,162.1,60.0609756097561
97, Unilex Colour & Ch...,SME,NSE,87.0,88.15,2.3,45.2,1.3218390804597766
98, WOL 3D India Ltd,SME,NSE,150.0,189.05,20.03,132.0,26.033333333333342
99, Rappid Valves Indi...,SME,NSE,222.0,309.35,40.54,268.45,39.34684684684686
100, S D Retail Ltd,SME,NSE,131.0,150.9,10.69,124.4,15.190839694656495
101, Avi Ansh Textile L...,SME,NSE,62.0,71.15,9.68,104.0,14.758064516129041
102, Bikewo Green Tech ...,SME,NSE,62.0,47.25,-27.42,16.4,-23.790322580645164
103, Phoenix Overseas L...,SME,NSE,64.0,60.8,0.0,26.85,-5.000000000000004
104, Kalana Ispat Ltd,SME,NSE,66.0,47.4,-31.59,48.25,-28.181818181818187
105, Paramount Speciali...,SME,NSE,59.0,87.15,40.68,49.35,47.71186440677967
106, Pelatro Ltd,SME,NSE,200.0,288.75,37.5,363.0,44.375
107, OSEL Devices Ltd,SME,NSE,160.0,207.95,23.78,246.15,29.968749999999993
108, Envirotech Systems...,SME,NSE,56.0,111.7,90.0,106.3,99.46428571428572
109, Deccan Transcon Le...,SME,NSE,108.0,110.25,7.41,47.5,2.083333333333333
110, Popular Foundation...,SME,BSE,37.0,37.07,0.0,30.2,-18.38
111, Sodhani Academy of...,SME,BSE,40.0,55.65,32.5,273.5,583.75
112, Excellent Wires an...,SME,NSE,90.0,82.05,-5.56,47.75,-8.833333333333336
113, Innomet Advanced M...,SME,NSE,100.0,199.5,90.0,181.15,99.5
114, SPP Polymer Ltd,SME,NSE,59.0,59.85,6.78,18.8,1.4406779661016973
115, SPP Polymer Ltd,SME,NSE,59.0,59.85,6.78,18.8,1.4406779661016973
116, Shubhshree Biofuel...,SME,NSE,119.0,198.45,58.82,368.0,66.76470588235294
117, Gajanand Internati...,SME,NSE,36.0,39.9,16.67,15.6,10.83333333333333
118, Share Samadhan Ltd,SME,BSE,74.0,74.87,-1.28,77.17,4.28
119, Aditya Ultra Steel...,SME,NSE,62.0,66.4,12.74,29.15,7.096774193548397
120, Vision Infra Equip...,SME,NSE,163.0,215.25,25.77,158.65,32.055214723926376
121, My Mudra Fincorp L...,SME,NSE,110.0,123.5,18.18,80.5,12.272727272727273
122, Namo eWaste Manage...,SME,NSE,85.0,169.55,90.0,161.0,99.47058823529413
123, Mach Conferences &...,SME,BSE,225.0,295.55,33.33,218.4,-2.93
124, Naturewings Holida...,SME,BSE,74.0,90.25,28.38,68.46,-7.49
125, Jeyyam Global Food...,SME,NSE,61.0,64.05,0.0,35.7,4.999999999999996
126, Boss Packaging Sol...,SME,NSE,66.0,86.6,25.0,49.1,31.212121212121204
127, Travels & Rentals ...,SME,BSE,40.0,57.75,37.5,57.78,44.45
128, Aeron Composites L...,SME,NSE,125.0,157.5,20.0,142.65,26.0
129, Vdeal System Ltd,SME,NSE,112.0,178.5,51.79,136.5,59.375
130, Jay Bee Lamination...,SME,NSE,146.0,291.25,90.0,189.1,99.48630136986301
131, Paramatrix Technol...,SME,NSE,110.0,120.8,4.59,91.0,9.818181818181817
132, Indian Phosphate L...,SME,NSE,99.0,178.7,90.0,53.8,80.50505050505049
133, Resourceful Automo...,SME,BSE,117.0,122.85,0.0,76.33,-34.76
134, Rapid Multimodal L...,SME,BSE,84.0,108.1,22.62,51.99,-38.11
135, Ideal Technoplast ...,SME,NSE,121.0,138.7,9.17,136.3,14.62809917355371
136, QVC Exports Ltd,SME,NSE,86.0,152.95,87.21,33.8,77.84883720930232
137, Forcas Studio Ltd,SME,NSE,80.0,144.4,90.0,95.7,80.5
138, Brace Port Logisti...,SME,NSE,80.0,159.6,90.0,94.5,99.49999999999999
139, Solve Plastic Prod...,SME,NSE,91.0,107.1,12.09,34.65,17.692307692307686
140, Broach Lifecare Ho...,SME,BSE,25.0,49.87,90.0,19.88,-20.48
141, Positron Energy Lt...,SME,NSE,250.0,498.75,90.0,363.1,99.5
142, Sunlite Recycling ...,SME,NSE,105.0,209.45,90.0,117.95,99.47619047619047
143, Aesthetik Engineer...,SME,NSE,58.0,115.7,90.0,73.5,99.48275862068967
144, Picturepost Studio...,SME,NSE,24.0,31.5,25.0,28.6,31.25
145, Afcom Holdings Ltd,SME,BSE,108.0,215.45,90.0,683.2,532.59
146, Dhariwalcorp Ltd,SME,NSE,106.0,142.5,41.51,154.5,34.43396226415094
147, Utssav CZ Gold Jew...,SME,NSE,110.0,115.55,0.05,258.25,5.045454545454542
148, Kizi Apparels Ltd,SME,BSE,21.0,24.3,10.24,24.18,15.14
149, Sathlokhar Synergy...,SME,NSE,140.0,247.0,85.71,442.35,76.42857142857142
150, Ashapura Logistics...,SME,NSE,144.0,175.75,28.47,74.05,22.04861111111111
151, Bulkcorp Internati...,SME,NSE,105.0,136.5,23.81,63.6,30.0
152, Rajputana Industri...,SME,NSE,38.0,75.8,90.0,75.1,99.4736842105263
153, Esprit Stones Ltd,SME,NSE,87.0,97.8,7.07,116.5,12.413793103448272
154, S A Tech Software ...,SME,NSE,59.0,117.7,90.0,70.55,99.49152542372882
155, Clinitech Laborato...,SME,BSE,96.0,120.75,19.79,42.71,-55.51
156, Trom Industries Lt...,SME,NSE,115.0,229.4,90.0,178.0,99.47826086956523
157, Aprameya Engineeri...,SME,NSE,58.0,75.6,24.14,158.0,30.344827586206886
158, Chetana Education ...,SME,NSE,85.0,103.8,16.35,107.7,22.117647058823525
159, Manglam Infra & En...,SME,NSE,56.0,111.7,90.0,26.25,99.46428571428572
160, VVIP Infratech Ltd,SME,BSE,93.0,185.53,90.0,182.55,96.29
161, V.L.Infraprojects ...,SME,NSE,42.0,83.75,90.0,47.1,99.40476190476191
162, RNFI Services Ltd,SME,NSE,105.0,189.55,90.0,231.25,80.52380952380953
163, Sar Televenture Lt...,SME,NSE,210.0,232.6,7.17,240.9,10.76190476190476
164, Macobs Technologie...,SME,NSE,75.0,100.8,28.0,169.9,34.4
165, Kataria Industries...,SME,NSE,96.0,191.5,90.0,113.35,99.47916666666666
166, Tunwal E-Motors Lt...,SME,NSE,59.0,60.8,8.47,31.9,3.050847457627114
167, Prizor Viztech Ltd,SME,NSE,87.0,173.55,90.0,158.35,99.48275862068967
168, Aelea Commodities ...,SME,BSE,95.0,173.25,73.68,183.25,92.89
169, Three M Paper Boar...,SME,BSE,69.0,79.8,10.14,41.05,-40.51
170, Sati Poly Plast Lt...,SME,NSE,130.0,259.35,90.0,89.05,99.50000000000003
171, Sahaj Solar Ltd,SME,NSE,180.0,179.55,90.0,281.0,-0.24999999999999367
172, Effwa Infra & Rese...,SME,NSE,82.0,163.55,90.0,234.15,99.45121951219514
173, Ganesh Green Bhara...,SME,NSE,190.0,379.05,90.0,426.05,99.50000000000001
174, Ambey Laboratories...,SME,NSE,68.0,89.25,25.0,38.0,31.25
175, Nephro Care India ...,SME,NSE,90.0,179.55,90.0,143.0,99.50000000000001
176, Diensten Tech Ltd,SME,NSE,100.0,252.0,140.0,155.0,152.0
177, Akiko Global Servi...,SME,NSE,77.0,93.35,27.27,86.45,21.233766233766225
178, Divine Power Energ...,SME,NSE,40.0,152.3,287.5,135.3,280.75
179, Petro Carbon & Che...,SME,NSE,171.0,315.0,75.44,185.35,84.21052631578947
180, Sylvan Plyboard (I...,SME,NSE,55.0,69.3,20.0,86.5,25.999999999999996
181, Mason Infratech Lt...,SME,NSE,64.0,92.4,37.5,124.95,44.37500000000001
182, Shivalic Power Con...,SME,NSE,100.0,326.55,211.0,124.2,226.55000000000004
183, Visaman Global Sal...,SME,NSE,43.0,47.35,4.88,39.95,10.116279069767446
184, Medicamen Organics...,SME,NSE,34.0,144.7,305.44,28.2,325.5882352941176
185, Winny Immigration ...,SME,NSE,140.0,252.0,71.43,170.0,80.0
186, Dindigul Farm Prod...,SME,BSE,54.0,107.73,90.0,29.83,-44.76
187, Gem Enviro Managem...,SME,BSE,75.0,149.62,90.0,72.24,-3.68
188, Falcon Technoproje...,SME,NSE,92.0,88.2,-8.7,28.6,-4.130434782608693
189, Durlax Top Surface...,SME,NSE,68.0,103.55,60.29,52.8,52.27941176470588
190, GP Eco Solutions I...,SME,NSE,94.0,393.75,298.94,308.25,318.8829787234043
191, United Cotfab Ltd,SME,BSE,70.0,78.75,7.14,29,-58.57
192, Sattrix Informatio...,SME,BSE,121.0,157.5,23.97,174.75,44.42
193, Magenta Lifecare L...,SME,BSE,35.0,47.25,28.57,16.21,-53.69
194, 3C IT Solutions & ...,SME,BSE,52.0,45.16,-17.29,28.19,-45.79
195, TBI Corn Ltd,SME,NSE,94.0,207.9,110.64,101.85,121.17021276595746
196, Aimtron Electronic...,SME,NSE,161.0,253.05,49.69,576.95,57.173913043478265
197, Associated Coaters...,SME,BSE,121.0,134.9,17.36,108.44,-10.38
198, Z-Tech (India) Ltd,SME,NSE,110.0,105.0,-9.09,546.75,-4.545454545454546
199, Beacon Trusteeship...,SME,NSE,60.0,94.5,50.0,78.9,57.49999999999999
200, Vilas Transcore Lt...,SME,NSE,147.0,225.75,46.26,382.0,53.57142857142857
201, GSM Foils Ltd,SME,NSE,32.0,33.6,0.0,149.4,5.000000000000004
202, Hoac Foods India L...,SME,NSE,48.0,139.65,206.25,159.4,190.9375
203, Rulka Electricals ...,SME,NSE,235.0,498.75,123.4,174.75,112.2340425531915
204, Quest Laboratories...,SME,NSE,97.0,147.35,59.9,106.9,51.90721649484536
205, Veritaas Advertisi...,SME,NSE,114.0,261.25,141.23,77.95,129.16666666666669
206, Indian Emulsifiers...,SME,NSE,132.0,451.5,225.76,145.8,242.04545454545453
207, Mandeep Auto Indus...,SME,NSE,67.0,65.35,-7.09,28.4,-2.4626865671641873
208, Aztec Fluids & Mac...,SME,BSE,67.0,85.5,34.33,98.28,46.69
209, Piotex Industries ...,SME,BSE,94.0,114.3,15.96,39,-58.51
211, Premier Roadlines ...,SME,NSE,67.0,91.35,29.85,100.05,36.34328358208954
212, Energy-Mission Mac...,SME,NSE,138.0,384.25,165.22,214.0,178.44202898550725
213, TGIF Agribusiness ...,SME,BSE,93.0,142.5,61.29,97.5,4.84
214, Silkflex Polymers ...,SME,NSE,52.0,58.7,15.38,97.2,12.884615384615389
215, Finelistings Techn...,SME,BSE,123.0,133.35,3.25,35.35,-71.26
216, Winsol Engineers L...,SME,NSE,75.0,383.25,386.67,212.4,411.00000000000006
217, Refractory Shapes ...,SME,NSE,31.0,78.75,141.94,66.15,154.03225806451613
218, Slone Infosystems ...,SME,NSE,79.0,112.6,50.0,268.0,42.531645569620245
219, Storage Technologi...,SME,BSE,78.0,153.05,90.0,102.5,31.41
220, Amkay Products Ltd,SME,BSE,55.0,109.72,90.0,45.5,-17.27
221, Sai Swami Metals a...,SME,BSE,60.0,119.7,90.0,34.87,-41.88
222, Emmforce Autotech ...,SME,BSE,98.0,195.51,90.0,82.49,-15.83
223, Shivam Chemicals L...,SME,BSE,44.0,47.4,9.09,55,25.0
224, Varyaa Creations L...,SME,BSE,150.0,270.75,90.0,60.02,-59.99
225, Faalcon Concepts L...,SME,BSE,62.0,90.25,53.23,48.25,-22.18
226, Grill Splendour Se...,SME,NSE,120.0,127.35,1.08,110.25,6.124999999999995
227, Ramdevbaba Solvent...,SME,NSE,85.0,117.6,31.76,105.5,38.35294117647059
228, Greenhitech Ventur...,SME,BSE,50.0,99.75,90.0,127.35,154.7
229, DCG Cables & Wires...,SME,NSE,100.0,85.5,-10.0,74.6,-14.499999999999998
