,Date,Open,High,Low,Close,Index Name
134,15-October-2024,22742.11,22832.42,22632.52,22807.39,BSE FMCG
135,16-October-2024,22825.59,22825.59,22614.67,22737.27,BSE FMCG
136,17-October-2024,22782.02,22782.15,22356.53,22370.94,BSE FMCG
137,18-October-2024,22354.31,22366.07,22061.53,22267.63,BSE FMCG
138,21-October-2024,22248.64,22260.65,21882.84,21998.96,BSE FMCG
139,22-October-2024,21995.03,22068.71,21792.87,21817.43,BSE FMCG
140,23-October-2024,21754.02,21947.84,21738.28,21876.71,BSE FMCG
141,24-October-2024,21949.85,21950.38,21268.35,21294.07,BSE FMCG
142,25-October-2024,21449.37,21631.83,21349.58,21400.19,BSE FMCG
143,28-October-2024,21386.09,21642.91,21302.37,21558.02,BSE FMCG
144,29-October-2024,21630.44,21630.44,21389.79,21577.97,BSE FMCG
145,30-October-2024,21630.84,21823.64,21575.33,21782.81,BSE FMCG
146,31-October-2024,21860.37,21860.53,21571.32,21663.37,BSE FMCG
147,1-November-2024,21917.8,21917.8,21738.66,21775.78,BSE FMCG
148,4-November-2024,21822.41,21822.54,21388.85,21503.53,BSE FMCG
149,5-November-2024,21465.0,21560.23,21354.92,21465.96,BSE FMCG
150,6-November-2024,21543.77,21652.17,21471.36,21590.72,BSE FMCG
151,7-November-2024,21668.03,21668.03,21354.89,21391.06,BSE FMCG
152,8-November-2024,21419.14,21443.18,21260.55,21408.62,BSE FMCG
153,11-November-2024,21398.54,21456.85,21139.07,21216.87,BSE FMCG
154,12-November-2024,21295.6,21295.66,20833.77,20876.38,BSE FMCG
155,13-November-2024,20795.77,20855.39,20695.76,20737.95,BSE FMCG
156,14-November-2024,20750.59,20796.35,20432.82,20457.56,BSE FMCG
157,18-November-2024,20569.61,20618.31,20326.9,20592.38,BSE FMCG
158,19-November-2024,20699.44,20830.6,20571.78,20616.3,BSE FMCG
159,21-November-2024,20562.9,20562.9,20272.99,20335.71,BSE FMCG
160,22-November-2024,20353.68,20820.07,20288.31,20779.16,BSE FMCG
161,25-November-2024,21004.07,21113.64,20908.99,20987.94,BSE FMCG
162,26-November-2024,21115.05,21173.36,20960.87,21107.99,BSE FMCG
163,27-November-2024,21170.94,21226.73,21001.62,21204.72,BSE FMCG
164,28-November-2024,21237.23,21479.47,21034.89,21127.67,BSE FMCG
165,29-November-2024,21058.67,21256.39,21020.3,21213.42,BSE FMCG
166,2-December-2024,21201.65,21267.11,21062.64,21197.99,BSE FMCG
167,3-December-2024,21042.48,21159.19,20911.61,21131.53,BSE FMCG
168,4-December-2024,21182.56,21263.62,20977.85,21002.48,BSE FMCG
169,5-December-2024,21070.38,21216.84,20871.33,21101.52,BSE FMCG
170,6-December-2024,21197.0,21260.12,21137.84,21171.2,BSE FMCG
171,9-December-2024,21130.34,21130.34,20709.89,20762.45,BSE FMCG
172,10-December-2024,20807.26,20849.55,20749.47,20812.44,BSE FMCG
173,11-December-2024,20895.59,20934.61,20813.81,20882.45,BSE FMCG
174,12-December-2024,20896.94,20914.13,20618.25,20642.39,BSE FMCG
175,13-December-2024,20638.42,20908.94,20373.65,20864.1,BSE FMCG
176,16-December-2024,20916.37,20942.88,20753.4,20809.42,BSE FMCG
177,17-December-2024,20793.21,20850.32,20634.2,20716.93,BSE FMCG
178,18-December-2024,20808.9,20808.9,20630.65,20698.85,BSE FMCG
179,19-December-2024,20551.34,20693.23,20534.5,20590.96,BSE FMCG
180,20-December-2024,20613.85,20659.16,20314.15,20359.31,BSE FMCG
181,23-December-2024,20486.63,20568.57,20357.01,20512.47,BSE FMCG
182,24-December-2024,20564.77,20670.96,20476.4,20630.73,BSE FMCG
183,26-December-2024,20687.48,20700.55,20526.42,20560.31,BSE FMCG
184,27-December-2024,20645.05,20683.6,20555.76,20631.84,BSE FMCG
185,30-December-2024,20630.27,20718.73,20559.52,20686.47,BSE FMCG
186,31-December-2024,20663.93,20786.81,20561.89,20771.92,BSE FMCG
187,1-January-2025,20854.21,20896.37,20768.29,20857.44,BSE FMCG
188,2-January-2025,20903.21,21102.65,20813.51,21088.45,BSE FMCG
189,3-January-2025,21140.9,21173.66,21002.94,21118.27,BSE FMCG
190,6-January-2025,21179.07,21179.45,20626.92,20675.43,BSE FMCG
191,7-January-2025,20703.71,20844.56,20699.83,20722.08,BSE FMCG
192,8-January-2025,20745.97,20837.25,20518.89,20791.23,BSE FMCG
193,9-January-2025,20791.15,21215.46,20736.47,20943.47,BSE FMCG
194,10-January-2025,20927.01,20944.34,20696.25,20754.97,BSE FMCG
195,13-January-2025,20548.18,20664.65,20423.39,20451.84,BSE FMCG
196,14-January-2025,20440.5,20530.74,20210.62,20244.82,BSE FMCG
197,15-January-2025,20361.27,20361.27,20109.68,20240.45,BSE FMCG
198,16-January-2025,20359.54,20359.76,20055.17,20154.09,BSE FMCG
199,17-January-2025,20216.7,20393.49,20108.93,20335.5,BSE FMCG
200,20-January-2025,20391.13,20400.24,20226.76,20320.16,BSE FMCG
201,21-January-2025,20384.45,20534.38,20214.54,20256.07,BSE FMCG
202,22-January-2025,20336.91,20390.37,20166.73,20249.68,BSE FMCG
203,23-January-2025,20241.53,20369.21,20005.4,20312.95,BSE FMCG
204,24-January-2025,20327.81,20485.32,20256.46,20367.28,BSE FMCG
205,27-January-2025,20250.15,20374.15,20108.14,20186.07,BSE FMCG
206,28-January-2025,20254.34,20254.34,20037.84,20101.74,BSE FMCG
207,29-January-2025,20110.68,20171.0,19877.34,20040.51,BSE FMCG
208,30-January-2025,20061.73,20229.04,20021.38,20172.44,BSE FMCG
209,31-January-2025,20186.23,20576.35,20161.54,20555.27,BSE FMCG
210,1-February-2025,20619.5,21428.35,20324.11,21152.76,BSE FMCG
211,3-February-2025,21157.77,21172.41,20726.9,20816.07,BSE FMCG
212,4-February-2025,20963.28,20966.73,20639.54,20789.21,BSE FMCG
213,5-February-2025,20756.97,20814.76,20471.14,20493.08,BSE FMCG
214,6-February-2025,20572.64,20572.64,20231.39,20305.47,BSE FMCG
215,7-February-2025,20355.94,20405.62,19937.24,20050.83,BSE FMCG
216,10-February-2025,20007.43,20143.43,19848.98,19928.86,BSE FMCG
217,11-February-2025,19945.19,20003.78,19419.87,19507.86,BSE FMCG
218,12-February-2025,19441.38,19531.3,19210.17,19446.38,BSE FMCG
219,13-February-2025,19315.11,19534.34,19279.05,19318.01,BSE FMCG
220,14-February-2025,19381.35,19509.8,19173.84,19233.29,BSE FMCG
221,17-February-2025,19160.68,19211.26,19060.52,19181.85,BSE FMCG
222,18-February-2025,19261.34,19261.43,18987.49,19028.16,BSE FMCG
223,19-February-2025,19048.34,19116.02,18936.65,19047.64,BSE FMCG
224,20-February-2025,18973.01,19049.99,18876.91,19040.91,BSE FMCG
225,21-February-2025,19051.49,19070.36,18873.94,18942.85,BSE FMCG
226,24-February-2025,18842.24,19004.41,18811.84,18973.49,BSE FMCG
227,25-February-2025,19017.75,19094.51,18944.33,19023.5,BSE FMCG
228,27-February-2025,19074.79,19074.97,18802.55,18869.18,BSE FMCG
229,28-February-2025,18782.6,18791.77,18325.03,18382.82,BSE FMCG
230,3-March-2025,18374.92,18429.71,18201.26,18391.31,BSE FMCG
231,4-March-2025,18315.25,18350.52,18196.88,18317.32,BSE FMCG
232,5-March-2025,18296.79,18747.14,18285.39,18630.24,BSE FMCG
233,6-March-2025,18772.27,18858.6,18585.97,18844.25,BSE FMCG
234,7-March-2025,18865.49,18884.71,18730.34,18836.63,BSE FMCG
235,10-March-2025,18899.68,19013.99,18742.66,18856.55,BSE FMCG
236,11-March-2025,18741.06,18919.29,18717.45,18828.2,BSE FMCG
237,12-March-2025,18862.2,18893.25,18746.53,18854.54,BSE FMCG
238,13-March-2025,18953.97,18979.17,18799.53,18820.01,BSE FMCG
239,17-March-2025,18861.78,18950.83,18717.41,18780.69,BSE FMCG
240,18-March-2025,18905.25,19092.36,18854.05,19051.07,BSE FMCG
241,19-March-2025,19114.82,19124.28,18953.74,18968.74,BSE FMCG
242,20-March-2025,19082.61,19248.13,18995.23,19180.6,BSE FMCG
243,21-March-2025,19261.58,19306.7,19143.13,19275.86,BSE FMCG
244,24-March-2025,19338.78,19416.66,19288.9,19373.12,BSE FMCG
245,25-March-2025,19452.84,19482.32,19265.06,19304.2,BSE FMCG
246,26-March-2025,19358.67,19379.81,19195.82,19209.42,BSE FMCG
247,27-March-2025,19199.11,19385.58,19100.24,19318.14,BSE FMCG
248,28-March-2025,19364.16,19643.44,19358.06,19447.48,BSE FMCG
0,1-April-2024,7128.02,7431.19,7128.02,7405.62,BSE REALTY
1,2-April-2024,7443.12,7557.73,7416.86,7481.97,BSE REALTY
2,3-April-2024,7470.11,7470.11,7276.54,7298.79,BSE REALTY
3,4-April-2024,7327.46,7348.26,7248.04,7284.75,BSE REALTY
4,5-April-2024,7311.39,7417.63,7300.22,7392.99,BSE REALTY
5,8-April-2024,7470.51,7586.43,7461.81,7482.15,BSE REALTY
6,9-April-2024,7547.67,7635.05,7491.22,7519.46,BSE REALTY
7,10-April-2024,7544.18,7625.51,7536.21,7569.38,BSE REALTY
8,12-April-2024,7581.36,7637.21,7487.03,7496.45,BSE REALTY
9,15-April-2024,7167.36,7479.64,7167.36,7412.65,BSE REALTY
10,16-April-2024,7329.76,7404.81,7322.77,7388.04,BSE REALTY
11,18-April-2024,7471.36,7490.25,7308.02,7336.58,BSE REALTY
12,19-April-2024,7222.2,7306.15,7149.96,7287.49,BSE REALTY
13,22-April-2024,7350.03,7403.88,7322.58,7339.21,BSE REALTY
14,23-April-2024,7382.84,7562.8,7381.64,7517.14,BSE REALTY
15,24-April-2024,7577.27,7616.47,7552.98,7577.69,BSE REALTY
16,25-April-2024,7600.49,7614.98,7464.29,7568.54,BSE REALTY
17,26-April-2024,7600.83,7630.72,7519.51,7608.31,BSE REALTY
18,29-April-2024,7622.6,7642.04,7476.89,7533.1,BSE REALTY
19,30-April-2024,7559.35,7725.43,7553.07,7643.26,BSE REALTY
20,2-May-2024,7629.89,7650.05,7518.37,7637.63,BSE REALTY
21,3-May-2024,7680.86,7696.86,7511.04,7554.33,BSE REALTY
22,6-May-2024,7648.32,7767.08,7539.43,7758.85,BSE REALTY
23,7-May-2024,7784.77,7797.56,7426.42,7493.89,BSE REALTY
24,8-May-2024,7493.83,7567.59,7376.5,7542.36,BSE REALTY
25,9-May-2024,7569.45,7586.88,7337.25,7362.03,BSE REALTY
26,10-May-2024,7397.02,7433.11,7227.57,7319.67,BSE REALTY
27,13-May-2024,7305.47,7433.81,7156.99,7416.01,BSE REALTY
28,14-May-2024,7445.97,7545.0,7419.51,7492.56,BSE REALTY
29,15-May-2024,7513.43,7682.98,7452.99,7575.61,BSE REALTY
30,16-May-2024,7605.39,7720.27,7603.17,7696.23,BSE REALTY
31,17-May-2024,7763.61,7840.9,7697.35,7825.21,BSE REALTY
32,18-May-2024,7842.68,7925.53,7822.04,7879.48,BSE REALTY
33,21-May-2024,7876.82,7898.52,7788.95,7880.63,BSE REALTY
34,22-May-2024,7932.94,8023.32,7910.47,7991.85,BSE REALTY
35,23-May-2024,8053.92,8092.94,7962.69,8078.32,BSE REALTY
36,24-May-2024,8058.9,8086.17,8004.54,8040.12,BSE REALTY
37,27-May-2024,8104.08,8166.97,8056.95,8101.07,BSE REALTY
38,28-May-2024,8138.59,8153.68,7899.44,7921.02,BSE REALTY
39,29-May-2024,7925.6,7949.01,7834.27,7851.65,BSE REALTY
40,30-May-2024,7872.76,7872.76,7782.41,7821.73,BSE REALTY
41,31-May-2024,7882.12,8070.49,7865.3,7979.82,BSE REALTY
42,3-June-2024,8320.83,8468.71,8209.93,8448.26,BSE REALTY
43,4-June-2024,8530.67,8530.67,7312.67,7639.1,BSE REALTY
44,5-June-2024,7757.81,7882.13,7337.4,7828.62,BSE REALTY
45,6-June-2024,7928.41,8233.42,7914.03,8208.1,BSE REALTY
46,7-June-2024,8279.57,8377.98,8213.92,8363.16,BSE REALTY
47,10-June-2024,8430.07,8512.79,8402.86,8475.28,BSE REALTY
48,11-June-2024,8570.38,8630.19,8519.18,8563.59,BSE REALTY
49,12-June-2024,8569.56,8586.85,8492.69,8554.02,BSE REALTY
50,13-June-2024,8641.14,8751.34,8611.66,8737.96,BSE REALTY
51,14-June-2024,8767.75,8857.7,8753.14,8820.51,BSE REALTY
52,18-June-2024,8871.54,9059.57,8821.77,9006.3,BSE REALTY
53,19-June-2024,8996.85,8997.25,8691.38,8738.48,BSE REALTY
54,20-June-2024,8767.83,8947.86,8754.93,8910.62,BSE REALTY
55,21-June-2024,8918.9,8966.01,8803.93,8843.43,BSE REALTY
56,24-June-2024,8842.46,8890.59,8715.72,8870.26,BSE REALTY
57,25-June-2024,8909.73,8909.73,8634.71,8709.0,BSE REALTY
58,26-June-2024,8740.03,8740.03,8563.64,8585.17,BSE REALTY
59,27-June-2024,8605.89,8652.52,8502.53,8581.01,BSE REALTY
60,28-June-2024,8602.27,8694.17,8518.85,8634.76,BSE REALTY
61,1-July-2024,8705.32,8705.32,8570.86,8600.59,BSE REALTY
62,2-July-2024,8658.22,8759.43,8607.31,8676.55,BSE REALTY
63,3-July-2024,8762.22,8762.22,8639.14,8699.44,BSE REALTY
64,4-July-2024,8741.24,8775.65,8685.01,8744.22,BSE REALTY
65,5-July-2024,8781.16,8781.16,8690.41,8740.66,BSE REALTY
66,8-July-2024,8792.68,8797.49,8672.73,8695.05,BSE REALTY
67,9-July-2024,8765.79,8827.7,8693.18,8801.94,BSE REALTY
68,10-July-2024,8855.06,8906.62,8626.35,8795.67,BSE REALTY
69,11-July-2024,8829.34,8830.96,8638.72,8672.08,BSE REALTY
70,12-July-2024,8708.34,8715.57,8515.09,8536.92,BSE REALTY
71,15-July-2024,8565.99,8733.17,8430.85,8656.25,BSE REALTY
72,16-July-2024,8678.51,8847.04,8674.49,8796.86,BSE REALTY
73,18-July-2024,8796.79,8820.09,8634.34,8771.76,BSE REALTY
74,19-July-2024,8781.65,8790.71,8473.43,8558.01,BSE REALTY
75,22-July-2024,8477.02,8568.01,8410.44,8512.82,BSE REALTY
76,23-July-2024,8577.48,8630.9,8155.79,8329.85,BSE REALTY
77,24-July-2024,8326.85,8472.37,8275.21,8391.25,BSE REALTY
78,25-July-2024,8378.19,8384.64,8267.46,8323.97,BSE REALTY
79,26-July-2024,8381.33,8519.12,8350.63,8413.34,BSE REALTY
80,29-July-2024,8536.64,8626.5,8437.57,8540.33,BSE REALTY
81,30-July-2024,8621.08,8672.69,8545.42,8575.1,BSE REALTY
82,31-July-2024,8662.74,8673.08,8483.6,8540.17,BSE REALTY
83,1-August-2024,8578.26,8580.67,8352.23,8397.2,BSE REALTY
84,2-August-2024,8321.42,8336.64,8081.57,8098.49,BSE REALTY
85,5-August-2024,7774.03,7917.05,7672.65,7753.92,BSE REALTY
86,6-August-2024,7828.37,8009.26,7792.35,7819.26,BSE REALTY
87,7-August-2024,8057.89,8068.55,7893.11,7959.96,BSE REALTY
88,8-August-2024,7967.6,8011.99,7842.52,7862.76,BSE REALTY
89,9-August-2024,7962.68,8038.62,7922.02,7985.78,BSE REALTY
90,12-August-2024,7923.12,8114.87,7923.12,8089.86,BSE REALTY
91,13-August-2024,8110.24,8152.54,8000.0,8027.23,BSE REALTY
92,14-August-2024,8078.15,8087.27,7941.67,7993.98,BSE REALTY
93,16-August-2024,8049.16,8215.64,8046.16,8190.03,BSE REALTY
94,19-August-2024,8235.79,8297.19,8163.27,8201.25,BSE REALTY
95,20-August-2024,8247.07,8247.07,8164.56,8219.81,BSE REALTY
96,21-August-2024,8255.73,8258.74,8090.18,8111.98,BSE REALTY
97,22-August-2024,8144.37,8173.62,8064.09,8151.57,BSE REALTY
98,23-August-2024,8150.6,8165.55,7943.8,7955.29,BSE REALTY
99,26-August-2024,7989.58,8107.59,7905.12,8089.89,BSE REALTY
100,27-August-2024,8074.88,8194.03,8073.06,8107.67,BSE REALTY
101,28-August-2024,8142.28,8156.09,8024.69,8091.55,BSE REALTY
102,29-August-2024,8093.26,8117.74,8036.43,8081.92,BSE REALTY
103,30-August-2024,8126.3,8264.46,8120.43,8233.53,BSE REALTY
104,2-September-2024,8267.86,8273.66,8178.54,8209.69,BSE REALTY
105,3-September-2024,8244.9,8318.24,8150.25,8166.16,BSE REALTY
106,4-September-2024,8032.84,8233.9,8032.84,8215.56,BSE REALTY
107,5-September-2024,8269.34,8269.34,8121.57,8137.17,BSE REALTY
108,6-September-2024,8189.02,8197.76,8037.67,8066.91,BSE REALTY
109,9-September-2024,8054.1,8106.19,7982.5,8040.93,BSE REALTY
110,10-September-2024,8078.68,8135.86,8050.19,8115.1,BSE REALTY
111,11-September-2024,8130.78,8132.48,8001.88,8015.74,BSE REALTY
112,12-September-2024,8042.18,8110.38,8006.02,8088.38,BSE REALTY
113,13-September-2024,8122.33,8252.08,8120.33,8232.07,BSE REALTY
114,16-September-2024,8324.29,8355.26,8221.92,8274.75,BSE REALTY
115,17-September-2024,8291.63,8356.98,8208.99,8327.4,BSE REALTY
116,18-September-2024,8336.59,8371.36,8245.58,8308.68,BSE REALTY
117,19-September-2024,8374.02,8446.14,8149.86,8348.02,BSE REALTY
118,20-September-2024,8416.12,8701.37,8411.46,8616.38,BSE REALTY
119,23-September-2024,8642.37,8826.53,8629.91,8794.61,BSE REALTY
